Id,EpiOrStroma
0,1
1,1
2,2
3,1
4,2
5,1
6,1
7,1
8,1
9,1
10,2
11,1
12,2
13,1
14,1
15,1
16,2
17,2
18,2
19,2
20,2
21,1
22,1
23,1
24,1
25,2
26,2
27,1
28,1
29,1
30,2
31,1
32,1
33,2
34,2
35,1
36,2
37,2
38,2
39,2
40,1
41,1
42,2
43,1
44,1
45,1
46,2
47,1
48,2
49,2
50,1
51,2
52,2
53,2
54,1
55,1
56,2
57,2
58,1
59,2
60,1
61,1
62,2
63,1
64,2
65,2
66,1
67,2
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,1
79,1
80,2
81,2
82,2
83,2
84,1
85,1
86,2
87,2
88,1
89,2
90,2
91,1
92,2
93,1
94,2
95,1
96,1
97,2
98,2
99,1
100,1
101,2
102,1
103,1
104,2
105,2
106,2
107,1
108,2
109,1
110,2
111,2
112,2
113,1
114,1
115,2
116,2
117,1
118,1
119,1
120,2
121,2
122,1
123,1
124,1
125,2
126,2
127,1
128,1
129,2
130,1
131,1
132,2
133,1
134,1
135,1
136,2
137,1
138,2
139,1
140,1
141,2
142,2
143,2
144,2
145,1
146,2
147,1
148,1
149,2
150,1
151,1
152,1
153,2
154,1
155,2
156,2
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,2
170,1
171,2
172,1
173,1
174,2
175,1
176,1
177,2
178,2
179,1
180,1
181,2
182,1
183,2
184,2
185,2
186,2
187,1
188,1
189,2
190,2
191,1
192,2
193,2
194,1
195,1
196,1
197,2
198,2
199,1
200,2
201,1
202,2
203,1
204,1
205,1
206,1
207,2
208,2
209,1
210,2
211,2
212,1
213,2
214,1
215,2
216,1
217,1
218,2
219,1
220,2
221,1
222,2
223,2
224,2
225,2
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,2
241,2
242,1
243,1
244,1
245,1
246,1
247,2
248,2
249,1
250,1
251,2
252,1
253,2
254,2
255,1
256,2
257,2
258,1
259,2
260,1
261,1
262,2
263,1
264,1
265,1
266,1
267,2
268,1
269,2
270,1
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,2
279,1
280,2
281,2
282,1
283,1
284,1
285,2
286,2
287,1
288,2
289,1
290,1
291,2
292,1
293,1
294,2
295,2
296,1
297,1
298,1
299,1
300,2
301,2
302,1
303,1
304,1
305,1
306,2
307,2
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,2
316,2
317,1
318,1
319,1
320,1
321,2
322,1
323,1
324,2
325,2
326,2
327,1
328,1
329,2
330,2
331,2
332,2
333,1
334,1
335,1
336,2
337,2
338,2
339,1
340,2
341,2
342,1
343,2
344,2
345,1
346,2
347,1
348,1
349,1
350,2
351,1
352,1
353,1
354,2
355,2
356,1
357,2
358,2
359,2
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,2
368,1
369,1
370,2
371,1
372,2
373,1
374,1
375,2
376,1
377,2
378,2
379,2
380,2
381,1
382,2
383,2
384,1
385,2
386,1
387,1
388,2
389,2
390,2
391,2
392,2
393,1
394,1
395,1
396,2
397,2
398,2
399,2
400,1
401,2
402,2
403,2
404,2
405,1
406,1
407,2
408,2
409,1
410,1
411,1
412,1
413,1
414,2
415,1
416,1
417,2
418,1
419,1
420,2
421,1
422,2
423,1
424,2
425,2
426,1
427,1
428,2
429,2
430,2
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,2
439,2
440,1
441,2
442,1
443,1
444,1
445,1
446,2
447,1
448,1
449,1
450,1
451,1
452,2
453,2
454,2
455,1
456,2
457,2
458,1
459,1
460,1
461,2
462,1
463,1
464,2
465,1
466,2
467,2
468,2
469,2
470,2
471,2
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,1
482,2
483,2
484,1
485,2
486,1
487,2
488,1
489,2
490,1
491,1
492,1
493,1
494,2
495,1
496,2
497,2
498,1
499,2
500,2
501,2
502,2
503,1
504,1
505,2
506,1
507,2
508,1
509,2
510,2
511,2
512,2
513,2
514,1
515,1
516,2
517,1
518,1
519,2
520,2
521,1
522,1
523,2
524,2
525,1
526,1
527,1
528,1
529,2
530,1
531,1
532,1
533,1
534,1
535,1
536,2
537,1
538,1
539,1
540,1
541,1
542,2
543,2
544,1
545,2
546,1
547,2
548,1
549,2
550,1
551,1
552,1
553,2
554,1
555,2
556,2
557,2
558,2
559,1
560,1
561,2
562,1
563,2
564,2
565,2
566,2
567,1
568,1
569,2
570,2
571,1
572,1
573,1
574,2
575,1
576,1
577,1
578,2
579,1
580,1
581,2
582,1
583,1
584,2
585,2
586,2
587,1
588,2
589,1
590,1
591,2
592,2
593,1
594,1
595,2
596,1
597,1
598,2
599,1
600,1
601,2
602,2
603,1
604,1
605,2
606,1
607,2
608,2
609,1
610,1
611,1
612,1
613,1
614,2
615,1
616,2
617,2
618,2
619,1
620,1
621,1
622,2
623,1
624,2
625,1
626,1
627,1
628,2
629,2
630,2
631,1
632,1
633,2
634,1
635,2
636,2
637,1
638,1
639,2
640,2
641,2
642,1
643,1
644,2
645,1
646,2
647,1
648,1
649,1
650,1
651,2
652,1
653,2
654,2
655,2
656,1
657,1
658,2
659,1
660,2
661,1
662,1
663,1
664,1
665,1
666,2
667,1
668,1
669,1
670,1
671,2
672,2
673,2
674,1
675,1
676,2
677,1
678,1
679,2
680,2
681,1
682,1
683,1
684,2
685,2
686,2
687,1
688,1
689,2
690,2
691,1
692,1
693,2
694,2
695,2
696,1
697,2
698,2
699,1
700,2
701,2
702,1
703,1
704,1
705,2
706,2
707,2
708,2
709,1
710,1
711,1
712,2
713,2
714,2
715,2
716,2
717,2
718,1
719,1
720,1
721,2
722,2
723,1
724,1
725,1
726,1
727,2
728,2
729,1
730,2
731,1
732,1
733,2
734,1
735,1
736,2
737,1
738,2
739,1
740,2
741,1
742,1
743,2
744,2
745,1
746,1
747,2
748,1
749,2
750,2
751,2
752,1
753,1
754,1
755,2
756,2
757,1
758,1
759,2
760,1
761,2
762,2
763,2
764,1
765,2
766,1
767,2
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,2
779,2
780,1
781,1
782,2
783,2
784,1
785,2
786,2
787,1
788,2
789,2
790,2
791,1
792,1
793,1
794,2
795,1
796,1
797,1
798,1
799,1
800,2
801,1
802,2
803,2
804,2
805,1
806,1
807,2
808,1
809,1
810,1
